iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
060300117,06030,Cannet,Collines,True
060330101,06033,Carros,Ville Nouvelle-La Plaine-Le Planet,True
060330102,06033,Carros,Ville Nouvelle-Eusière-Cigales-Espère,True
060330103,06033,Carros,Ville Nouvelle-Les Arbousiers-L'Aspre,True
060330104,06033,Carros,Les Terriers,False
060330105,06033,Carros,Les Écarts-Village-Plans de Carros,True
060440101,06044,Colle-sur-Loup,Quartiers Est-Les Salettes-Les Campons,True
060440102,06044,Colle-sur-Loup,Village Centre,True
060440103,06044,Colle-sur-Loup,Quartiers Ouest-Montgros-Montmeuille,True
060480101,06048,Contes,Contes Sud-Village-Pointe,True
060480102,06048,Contes,Contes Nord et Hameaux,True
060650101,06065,Gaude,Nord,True
060650102,06065,Gaude,Sud,True
060690101,06069,Grasse,Centre Ville Nord,True
060690102,06069,Grasse,Saint-François,True
060690103,06069,Grasse,Centre Ville Sud-Ouest,True
060690104,06069,Grasse,Saint-Antoine,True
060690105,06069,Grasse,Saint-Jacques Nord,True
060690106,06069,Grasse,Saint-Claude (canton Nord),True
060690107,06069,Grasse,Le Plan,True
060690108,06069,Grasse,Saint-Claude (canton Sud),True
060690109,06069,Grasse,Centre Ville Sud-Est,True
060690110,06069,Grasse,Saint-Mathieu,True
060690111,06069,Grasse,Secteur Sauvegardé,True
060690112,06069,Grasse,Plascassier,True
060690113,06069,Grasse,Les Aspres,True
060690114,06069,Grasse,Saint-Jacques Sud,True
060690115,06069,Grasse,Roquevignon-La Marbrière,True
060690116,06069,Grasse,Magagnosc,True
060690117,06069,Grasse,Saint-Jean-Saint-Christophe,True
060790101,06079,Mandelieu-la-Napoule,Les Tourrades-Pont de Siagne ou la Canardière,False
060790102,06079,Mandelieu-la-Napoule,Le Gavelier-La Tour,True
060790103,06079,Mandelieu-la-Napoule,Le Roc Fleuri-Capitou-Jeanne d'Arc,True
060790104,06079,Mandelieu-la-Napoule,Le Grand Duc-Minelle,True
060790105,06079,Mandelieu-la-Napoule,Maure Vieille-La Napoule,True
060790106,06079,Mandelieu-la-Napoule,Cannes Marina-La Roubine,True
060790107,06079,Mandelieu-la-Napoule,Le Cottage,True
060790108,06079,Mandelieu-la-Napoule,Le Centre Ville,True
060790109,06079,Mandelieu-la-Napoule,Les Termes,True
060830101,06083,Menton,Madone-Carnoles,True
060830102,06083,Menton,Riviera,True
060830103,06083,Menton,Bioves-Casino,True
060830104,06083,Menton,Hôtel de Ville,True
060830105,06083,Menton,Vieille Ville-Musée,True
060830106,06083,Menton,Terres Chaudes,True
060830201,06083,Menton,Vallée de Gorbio,True
060830202,06083,Menton,Haut Borrigo,True
060830203,06083,Menton,Saint-Paul-Garavan,True
060830204,06083,Menton,Ciappes-Fossan,True
060830205,06083,Menton,Mont Gros,True
060830206,06083,Menton,Carei-Monti,True
060840101,06084,Mouans-Sartoux,Les Aspres-Plan Sarrain,True
060840102,06084,Mouans-Sartoux,Grand-Pièce-Les Plaines,True
060840103,06084,Mouans-Sartoux,Les Indes-les Groulles,True
060840104,06084,Mouans-Sartoux,Les Plantiers-Le Plan,True
060850101,06085,Mougins,Village-Le Val-Cabrières,True
060850102,06085,Mougins,Aubarède-Campelières,True
060850103,06085,Mougins,Pibonson-Les Faïsses-Ranguin,True
060850104,06085,Mougins,Saint-Martin-Le Miracle,True
060850105,06085,Mougins,Les Colles-Camp Lauvas-Font de l'Orme,True
060850107,06085,Mougins,Valmasque-Notre-Dame de Vie,True
060850108,06085,Mougins,Mougins le Haut,True
060880101,06088,Nice,Saleya-Château,True
060880102,06088,Nice,Vieux Nice-Sainte-Réparate,True
060880103,06088,Nice,Vieux Nice-Visitation,True
060880201,06088,Nice,Garibaldi,True
060880202,06088,Nice,Port,True
060880203,06088,Nice,Cassini,True
060880204,06088,Nice,Barla,True
060880205,06088,Nice,Riquier-Fontaine de la Ville,True
060880206,06088,Nice,Bonaparte,True
060880301,06088,Nice,République,True
060880302,06088,Nice,Pierre Sola,True
