insee_commune_id,commune_name_upper,commune_name,has_crime_data,has_revenu_data
02146,CELLES LES CONDE,Celles-lès-Condé,False,False
02148,CELLES SUR AISNE,Celles-sur-Aisne,False,False
02149,CERIZY,Cerizy,False,False
02150,CERNY EN LAONNOIS,Cerny-en-Laonnois,False,False
02151,CERNY LES BUCY,Cerny-lès-Bucy,False,False
02152,CERSEUIL,Cerseuil,False,False
02153,CESSIERES SUZY,Cessières-Suzy,True,False
02154,CHACRISE,Chacrise,False,False
02155,CHAILLEVOIS,Chaillevois,False,False
02156,CHALANDRY,Chalandry,False,False
02157,CHAMBRY,Chambry,True,False
02158,CHAMOUILLE,Chamouille,True,False
02159,CHAMPS,Champs,False,False
02160,CHAOURSE,Chaourse,False,False
